date_time,id,box
2023-07-13 00:16:54,00071E2D31,K52
2023-07-13 00:16:55,0007AC0387,K52
2023-07-13 00:18:07,00071E2D31,K52
2023-07-13 00:19:22,0007AC0387,K52
2023-07-13 00:20:33,0007AC0387,K52
2023-07-13 00:20:58,00074F663E,K52
2023-07-13 00:21:04,00075D879F,K52
2023-07-13 00:21:56,0007ABF44A,K52
2023-07-13 00:22:01,0007AC0387,K52
2023-07-13 00:22:12,0007AC0387,K52
2023-07-13 00:22:42,0007AC0387,K52
2023-07-13 00:25:32,00075D879F,K52
2023-07-13 00:25:38,0007AC0387,K52
2023-07-13 00:26:12,0007AC418B,K52
2023-07-13 00:26:23,0007CDB484,K52
2023-07-13 00:28:29,0007AC9A80,K52
2023-07-13 00:28:52,00075D879F,K52
2023-07-13 00:29:22,0007AC9A80,K52
2023-07-13 00:29:40,0007AC9A80,K52
2023-07-13 00:29:46,0007CE0896,K52
2023-07-13 00:31:31,0007CDB484,K52
2023-07-13 00:32:12,0007AC494F,K52
2023-07-13 00:33:31,0007AC494F,K52
2023-07-13 00:33:52,0007AC0387,K52
2023-07-13 00:35:16,0007AC9A80,K52
2023-07-13 00:35:26,0007AC0387,K52
2023-07-13 00:40:32,0007AC34C9,K52
2023-07-13 00:40:38,00075D879F,K52
2023-07-13 00:41:20,00075D879F,K52
2023-07-13 00:41:30,0007CDB484,K52
2023-07-13 00:45:14,000786B8A2,K52
2023-07-13 00:46:02,0007AC0387,K52
2023-07-13 00:46:38,0007AC9A80,K52
2023-07-13 00:46:43,0007ACAC37,K52
2023-07-13 00:47:08,00075D879F,K52
2023-07-13 00:47:39,00075D076C,K52
2023-07-13 00:48:19,0007AC494F,K52
2023-07-13 00:49:24,0007AC34C9,K52
2023-07-13 00:50:06,0007AC494F,K52
2023-07-13 00:51:41,000786B8A2,K52
2023-07-13 00:51:44,0007CDB484,K52
2023-07-13 00:52:22,000786B8A2,K52
2023-07-13 00:53:09,000786B8A2,K52
2023-07-13 00:54:07,000786B8A2,K52
2023-07-13 00:54:39,000786B8A2,K52
2023-07-13 00:56:55,000786B8A2,K52
2023-07-13 00:59:41,000786B8A2,K52
2023-07-13 01:00:08,000786B8A2,K52
2023-07-13 01:00:38,0007AC0387,K52
2023-07-13 01:00:58,0007AC0387,K52
2023-07-13 01:01:13,000786B8A2,K52
2023-07-13 01:01:25,0007CDB484,K52
2023-07-13 01:02:33,0007CDB484,K52
