date,colony,box,logger,species,details,Transponder Code:,Time:
2024-05-14,GB2,K9,LID37,Mbec,empty,0007D1062C,21:14:59
2024-05-15,GB2,K9,LID37,Mbec,empty,00079ABB95,11:20:12
2024-05-15,GB2,K9,LID37,Mbec,empty,00079ABB95,11:20:13
2024-05-15,GB2,K84,LID37,Mbec,empty,00079ABB95,11:33:50
2024-05-15,GB2,K84,LID37,Mbec,empty,00079ABB95,11:33:51
2024-05-15,GB2,K84,LID37,Mbec,empty,0007AC3CC1,21:23:25
2024-05-15,GB2,K84,LID37,Mbec,empty,0007AC3CC1,21:23:25
2024-05-15,GB2,K84,LID37,Mbec,empty,0007AC3CC1,21:23:27
2024-05-15,GB2,K84,LID37,Mbec,empty,0007AC3CC1,21:23:28
2024-05-15,GB2,K84,LID37,Mbec,empty,0007AC3CC1,21:23:29
2024-05-15,GB2,K84,LID37,Mbec,empty,0007AC3CC1,21:23:30
2024-05-15,GB2,K84,LID37,Mbec,empty,0007ABC5F2,21:24:51
2024-05-15,GB2,K84,LID37,Mbec,empty,0007ABC5F2,21:24:51
2024-05-15,GB2,K84,LID37,Mbec,empty,0007ABDCCF,21:25:55
2024-05-15,GB2,K84,LID37,Mbec,empty,0007ABDCCF,21:25:56
2024-05-15,GB2,K84,LID37,Mbec,empty,00079A0255,21:26:07
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D1062C,21:26:10
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D0ED80,21:26:39
2024-05-15,GB2,K84,LID37,Mbec,empty,0007AC0734,21:27:44
2024-05-15,GB2,K84,LID37,Mbec,empty,0007CE054D,21:27:49
2024-05-15,GB2,K84,LID37,Mbec,empty,0007AC44BD,21:28:42
2024-05-15,GB2,K84,LID37,Mbec,empty,0007AC44BD,21:28:43
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:32:55
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:32:56
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:32:57
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:32:58
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:32:59
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:33:00
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:33:01
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:33:04
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:33:05
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:33:05
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:33:06
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:33:21
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:33:22
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:33:23
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:33:24
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:33:24
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:33:25
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:33:26
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:33:27
2024-05-15,GB2,K84,LID37,Mbec,empty,0007D10DE4,21:33:28
2024-05-15,GB2,K84,LID37,Mbec,empty,0007CE12D7,21:33:52
2024-05-15,GB2,K84,LID37,Mbec,empty,0007CE12D7,21:33:53
2024-05-15,GB2,K84,LID37,Mbec,empty,0007CE12D7,21:33:54
2024-05-15,GB2,K84,LID37,Mbec,empty,0007AC0145,21:34:51
2024-05-15,GB2,K84,LID37,Mbec,empty,0007CDF4D9,21:34:56
2024-05-15,GB2,K84,LID37,Mbec,empty,0007CDF4D9,21:34:56
2024-05-16,GB2,K84,LID37,Mbec,empty,00079ABB95,10:39:35
2024-05-16,GB2,K84,LID37,Mbec,empty,00079ABB95,10:39:36
2024-05-15,GB2,K89,LID31,Mbec,TQ,00079ABB95,11:04:10
2024-05-15,GB2,K89,LID31,Mbec,TQ,00079ABB95,11:04:11
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007D110B4,21:22:18
2024-05-15,GB2,K89,LID31,Mbec,TQ,0006E24ECA,21:24:19
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007D1104E,21:26:45
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007D1104E,21:26:46
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007AC5939,21:26:53
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007C18C52,21:26:56
2024-05-15,GB2,K89,LID31,Mbec,TQ,000783CB2B,21:28:00
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007D10BA0,21:28:02
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007D109BB,21:28:09
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007D109BB,21:28:10
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007ABC809,21:28:40
2024-05-15,GB2,K89,LID31,Mbec,TQ,00075D879F,21:29:08
2024-05-15,GB2,K89,LID31,Mbec,TQ,00075D879F,21:29:09
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007D1088C,21:29:22
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007D1088C,21:29:23
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007CE0F3D,21:30:43
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007CE0F3D,21:30:44
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007CE0F3D,21:30:45
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007CE0F3D,21:30:46
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007CE0F3D,21:30:47
2024-05-15,GB2,K89,LID31,Mbec,TQ,0007CE0F3D,21:30:48
2024-05-16,GB2,K89,LID31,Mbec,TQ,00075D879F,01:50:52
2024-05-16,GB2,K89,LID31,Mbec,TQ,00075D879F,01:50:55
2024-05-16,GB2,K89,LID31,Mbec,TQ,00075D879F,01:50:56
2024-05-16,GB2,K89,LID31,Mbec,TQ,00075D879F,01:50:57
2024-05-16,GB2,K89,LID31,Mbec,TQ,00075D879F,01:50:58
2024-05-16,GB2,K89,LID31,Mbec,TQ,00075D879F,01:50:59
2024-05-16,GB2,K89,LID31,Mbec,TQ,00075D879F,01:51:02
2024-05-16,GB2,K89,LID31,Mbec,TQ,00075D879F,01:51:03
2024-05-16,GB2,K89,LID31,Mbec,TQ,00075D879F,01:51:04
2024-05-16,GB2,K89,LID31,Mbec,TQ,00075D879F,01:51:05
2024-05-16,GB2,K89,LID31,Mbec,TQ,00075D879F,01:51:06
2024-05-16,GB2,K89,LID31,Mbec,TQ,00075D879F,01:51:07
2024-05-16,GB2,K89,LID31,Mbec,TQ,00075D879F,02:44:33
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:44:56
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:46:49
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:46:50
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:46:51
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:46:52
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:46:53
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:46:54
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:46:55
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:46:57
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:46:59
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:47:00
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:47:01
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:47:01
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:47:03
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:47:04
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:47:05
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:47:06
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:47:08
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:49:10
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:49:11
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:49:13
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:49:18
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:49:20
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,02:54:50
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,03:15:20
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,03:19:06
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,03:19:07
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007AC0145,04:24:49
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007AC0145,04:24:51
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D109BB,04:28:45
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D109BB,04:28:47
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D109BB,04:28:48
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D109BB,04:28:49
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D109BB,04:28:50
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D109BB,04:28:51
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D109BB,04:30:31
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D109BB,04:30:32
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D109BB,04:30:44
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D109BB,04:30:45
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D109BB,04:30:46
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D109BB,04:30:48
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D1088C,04:51:32
2024-05-16,GB2,K89,LID31,Mbec,TQ,0006E24ECA,04:56:45
2024-05-16,GB2,K89,LID31,Mbec,TQ,000783CB2B,04:59:37
2024-05-16,GB2,K89,LID31,Mbec,TQ,00079ABB95,11:59:47
2024-05-16,GB2,K89,LID31,Mbec,TQ,00079ABB95,11:59:48
2024-05-16,GB2,K37,LID32,Mbec,TQ,00079ABB95,11:39:58
2024-05-16,GB2,K37,LID32,Mbec,TQ,00079ABB95,11:39:59
2024-05-16,GB2,K37,LID32,Mbec,TQ,00079ABB95,11:40:00
2024-05-16,GB2,K37,LID32,Mbec,TQ,00079ABB95,11:40:01
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D110B4,21:30:01
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D110B4,21:30:02
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D110B4,21:30:03
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D11055,21:30:30
2024-05-16,GB2,K37,LID32,Mbec,TQ,00074F663E,21:30:51
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007ABF44A,21:30:57
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007ABF44A,21:30:58
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007ABF44A,21:30:59
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007C1922C,21:31:02
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D10CE1,21:33:00
2024-05-16,GB2,K37,LID32,Mbec,TQ,000786B8A2,21:33:01
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007AC34C9,21:35:41
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007CDB484,21:35:53
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007CDB484,21:35:53
2024-05-16,GB2,K37,LID32,Mbec,TQ,00071E2D31,21:35:56
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007CE0F3D,21:36:30
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007CE0F3D,21:36:31
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,21:38:33
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,21:38:34
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,21:38:35
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,21:38:36
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,21:38:37
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,21:38:38
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,21:38:39
2024-05-16,GB2,K37,LID32,Mbec,TQ,00075D076C,21:39:10
2024-05-16,GB2,K37,LID32,Mbec,TQ,00075D879F,21:39:12
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007AC418B,21:40:22
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D109B4,23:15:13
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D109B4,23:38:27
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:58:06
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:58:07
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:58:08
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:58:58
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:58:59
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:59:00
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:59:01
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:59:02
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:59:03
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:59:03
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:59:04
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:59:05
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:59:06
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:59:07
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:59:08
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:59:09
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:59:10
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:59:11
2024-05-16,GB2,K37,LID32,Mbec,TQ,0007D104D3,23:59:12
2024-05-17,GB2,K37,LID32,Mbec,TQ,0007D109B4,04:30:43
2024-05-17,GB2,K37,LID32,Mbec,TQ,0007D10CE1,04:35:22
2024-05-17,GB2,K37,LID32,Mbec,TQ,0007D11055,04:35:46
2024-05-17,GB2,K37,LID32,Mbec,TQ,0007D11055,04:35:47
2024-05-17,GB2,K37,LID32,Mbec,TQ,00074F663E,04:36:37
2024-05-17,GB2,K37,LID32,Mbec,TQ,0007C1922C,04:42:52
2024-05-17,GB2,K37,LID32,Mbec,TQ,0007AC34C9,04:43:22
2024-05-17,GB2,K37,LID32,Mbec,TQ,00075D076C,04:45:13
2024-05-17,GB2,K37,LID32,Mbec,TQ,00079ABB95,10:04:52
2024-05-17,GB2,K37,LID32,Mbec,TQ,00079ABB95,10:04:54
2024-05-16,GB2,K81,LID37,Mbec,TQ,00079ABB95,10:43:09
2024-05-16,GB2,K81,LID37,Mbec,TQ,00079ABB95,10:43:10
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007D1062C,21:19:22
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007D1062C,21:19:22
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007D1062C,21:19:23
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007D1062C,21:19:24
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007D1062C,21:19:25
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007D1062C,21:19:26
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007D1062C,21:19:27
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007D1062C,21:19:28
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007D1062C,21:19:29
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007D1062C,21:19:30
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007D1062C,21:19:31
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007D1062C,21:19:32
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007D1062C,21:19:32
2024-05-16,GB2,K81,LID37,Mbec,TQ,000799A5EF,21:27:15
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007ABDCCF,21:27:28
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007AC0734,21:30:45
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007AC44BD,21:31:02
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007AC44BD,21:31:03
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007AC44BD,21:31:04
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007C18B80,21:33:43
2024-05-16,GB2,K81,LID37,Mbec,TQ,000783F429,21:33:52
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007CDEB80,21:33:57
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007CDEB80,21:33:58
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007CDF4D9,21:35:34
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007CDF4D9,21:35:35
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007CDF4D9,21:35:35
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007CDF4D9,21:35:36
2024-05-16,GB2,K81,LID37,Mbec,TQ,0007CDF4D9,21:35:37
2024-05-16,GB2,K81,LID37,Mbec,TQ,0006E239ED,21:36:56
2024-05-16,GB2,K81,LID37,Mbec,TQ,0006E239ED,21:36:57
2024-05-16,GB2,K81,LID37,Mbec,TQ,0006E239ED,21:36:58
2024-05-16,GB2,K81,LID37,Mbec,TQ,0006E239ED,21:36:59
2024-05-16,GB2,K81,LID37,Mbec,TQ,0006E239ED,21:37:00
2024-05-16,GB2,K81,LID37,Mbec,TQ,0006E239ED,21:37:01
2024-05-16,GB2,K81,LID37,Mbec,TQ,0006E239ED,21:37:01
2024-05-17,GB2,K81,LID37,Mbec,TQ,0006E239ED,04:44:48
2024-05-17,GB2,K81,LID37,Mbec,TQ,0007AC0734,04:45:21
2024-05-17,GB2,K81,LID37,Mbec,TQ,0007CDF4D9,04:45:34
2024-05-17,GB2,K81,LID37,Mbec,TQ,0007AC44BD,04:48:31
2024-05-17,GB2,K81,LID37,Mbec,TQ,0007AC8BE4,04:50:23
2024-05-17,GB2,K81,LID37,Mbec,TQ,0006E241C1,04:57:18
2024-05-17,GB2,K81,LID37,Mbec,TQ,000799A5EF,04:57:27
2024-05-17,GB2,K81,LID37,Mbec,TQ,0007AC80F1,05:05:05
2024-05-17,GB2,K81,LID37,Mbec,TQ,0007D10482,09:07:38
2024-05-17,GB2,K81,LID37,Mbec,TQ,00079ABB95,10:44:05
2024-05-17,GB2,K81,LID37,Mbec,TQ,00079ABB95,10:44:06
2024-05-16,GB2,K89,LID31,Mbec,TQ,00079ABB95,12:01:08
2024-05-16,GB2,K89,LID31,Mbec,TQ,00079ABB95,12:01:10
2024-05-16,GB2,K89,LID31,Mbec,TQ,0006E24ECA,21:29:10
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D104DB,21:31:36
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D104DB,21:31:37
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D104DB,21:31:38
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007CE0A62,21:31:43
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007AC5939,21:32:10
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D104DB,21:32:34
2024-05-16,GB2,K89,LID31,Mbec,TQ,000783CB2B,21:32:48
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007AC0387,21:34:53
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007AC0387,21:34:55
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D1088C,21:35:54
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D10122,21:36:18
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D10BA0,21:36:30
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007C18C52,21:37:09
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D109BB,21:41:20
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D109BB,21:41:21
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007AC0145,21:41:29
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,21:42:30
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ACAC37,21:42:31
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007ABC809,21:42:35
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007AC494F,21:43:08
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007AC494F,21:43:09
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007AC494F,21:43:10
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007AC494F,21:43:11
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007AC494F,21:43:12
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007AC494F,21:43:13
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007AC494F,21:43:14
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007AC494F,21:43:15
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007AC494F,21:43:16
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D10CE1,23:28:43
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D10CE1,23:28:44
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D10CE1,23:30:58
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D10CE1,23:30:59
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D10CE1,23:30:59
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D10CE1,23:31:00
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D10CE1,23:31:01
2024-05-16,GB2,K89,LID31,Mbec,TQ,0007D10CE1,23:40:42
2024-05-16,GB2,K89,LID31,Mbec,TQ,0006E24ECA,23:56:27
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007AC0387,00:09:42
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007D1088C,00:17:08
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007D1088C,00:17:09
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007D1088C,00:17:10
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007D1088C,00:17:10
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007D1088C,00:17:11
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007D1088C,00:17:13
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007D1088C,00:17:15
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007D1088C,00:17:16
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007D1088C,00:17:17
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007D10CE1,00:17:19
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007D10CE1,00:20:41
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007CE0A62,00:21:39
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007CDB484,00:36:54
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007CDB484,00:36:55
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007CDB484,00:36:57
2024-05-17,GB2,K89,LID31,Mbec,TQ,0007CDB484,00:36:58
